PC1_float,PC2_float,PC3_float,PC4_float,PC5_float,PC6_float,PC7_float,PC8_float,PC9_float,PC10_float,PC11_float,PC12_float,PC1_code,PC2_code,PC3_code,PC4_code,PC5_code,PC6_code,PC7_code,PC8_code,PC9_code,PC10_code,PC11_code,PC12_code,Label
46573723498.732254,-15946830618.900692,-178527.03880536495,-38007.79864579695,-142493.53529799994,-34.398219188776366,-17.101688055443695,-7.352899569696103,1.0454378455818873,0.42984453850015814,-0.2580483290346911,-9.271526300606809e-08,37103,3348,840,18498,587,38478,20560,13325,43911,26405,27185,16017,Benign
49572516487.486946,8784586468.17963,-140923.07696027728,-36223.57907655563,-18040.014254549467,11.113555431801736,-2.4813780381136743,-0.167159968587542,0.2338667756161466,-0.35448967519165925,0.049249347921807296,-8.293386775386292e-11,39452,39529,1241,19707,9241,39465,31164,28947,34444,13601,40254,30572,Benign
15202232465.547785,2224440973.501686,-46505.361536856566,29447.87973184057,-8733.097774675132,-7.416053102304357,5.997622462803832,-1.1273915134563772,0.23139945642192972,2.833295728281513,0.2661760721238826,-1.2324751224260807e-08,12995,29953,2247,63871,9887,39066,37314,26861,34416,65529,49471,28650,Benign
56103575255.238075,26601633752.008232,-125897.2686938648,-28632.465246618252,71601.51704934263,104.25739869193761,-4.495784042132291,-0.13730155602065475,0.4500898556752528,-0.7847049751160388,0.043924886278578934,1.5132140375781407e-09,44480,65535,1401,24812,15462,41474,29703,29012,36967,6593,40028,30823,Benign
12364833755.665339,3258286473.475435,-35295.08624378082,30224.968013941172,285.87926711623004,-0.21461375321863252,2.225596773697462,2.2135889961118935,0.4442955626025676,0.8186970047866234,-0.4054090860993649,2.7180600135920272e-08,10811,31462,2366,64394,10513,39221,34578,34119,36900,32712,20937,34853,Benign
6393963954.502674,1181471228.8992007,-20836.083830802654,31377.542871849117,-3161.595877050321,-7.0037257749455035,6.165915057916258,-0.5619946372410038,0.16782470220777634,1.8855332743811084,-0.09271396857058323,-9.165188363776328e-09,6215,28431,2520,65169,10273,39075,37436,28089,33674,50091,34223,29146,Benign
8603041683.875425,4646379059.774516,-20830.814986927682,31247.808506029927,12929.69022856458,9.987744255319203,4.712211975514703,-0.13699136464892092,0.1897806727856079,-0.07890476570864502,-0.6589853011550012,-9.920519761508306e-09,7915,33488,2520,65082,11390,39441,36381,29012,33930,18090,10163,29028,Benign
49586524224.79495,8813822189.420763,-140908.43899195298,-36213.21607374897,-17896.685441164085,11.263976286413751,-2.479239380310373,-0.16347168628147069,0.23393804775657817,-0.35537714533693027,0.049326949449239654,-3.262053424695074e-11,39463,39571,1241,19714,9251,39469,31166,28955,34445,13587,40258,30580,Benign
-1678208352.5343583,-105724677.39102705,2582.306575769716,-33694.06309095085,-1361.6733323183146,-0.9653830908558986,0.6638395818210912,-0.12851504509712164,-0.14478429111408442,0.08933689135186537,-0.1582695533198821,-3.4634227093713575e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1677534399.5698423,-105413169.12208782,2580.807818519499,-33694.016076138374,-1360.8214648358949,-0.9641749576822906,0.663796315017069,-0.128516525888409,-0.14477856300219522,0.08932690933263585,-0.1582667426865117,-3.463388802182517e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678411180.2837334,-105818426.54616241,2570.2079833808466,-33693.94473372739,-1373.3527997679125,-0.93254368551025,0.6878239709646429,-0.13045335553342208,-0.14634988749986902,0.08914965838103775,-0.15793502606478213,-3.5000984594200758e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678236594.3729255,-105737731.07078007,2569.8197338836476,-33693.93255465216,-1373.1321255248477,-0.9322307214881345,0.6878127628020771,-0.13045373912887925,-0.14634840364612248,0.08914707256272306,-0.1579342979768995,-3.5000896758435372e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1677909245.7901065,-105586427.0545264,2581.641413028191,-33694.042225329315,-1361.295265416593,-0.9648469098474212,0.6638203796014014,-0.12851570228639775,-0.14478174892347456,0.08933246123666447,-0.15826830593402438,-3.463407661038025e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1677771887.7573385,-105522938.70257117,2581.335952026718,-33694.03264326277,-1361.1216467106524,-0.9646006808006096,0.6638115614146769,-0.12851600408576502,-0.14478058147971806,0.08933042680607864,-0.15826773310017556,-3.4634007504300137e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678309766.4090729,-105771551.96855061,2569.982456099385,-33693.93765911751,-1373.2246139943675,-0.9323618902326977,0.6878174603407996,-0.1304535783572539,-0.14634902555541332,0.08914815632481084,-0.15793460313137972,-3.500093357195468e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678305915.2492757,-105769771.92129953,2569.973891772241,-33693.93739046144,-1373.2197461801823,-0.9323549866145627,0.6878172131019195,-0.1304535868189184,-0.14634899282334538,0.08914809928470095,-0.1579345870706176,-3.500093163440104e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678459961.6411107,-105840973.81143102,2582.8661118097966,-33694.08064314751,-1361.9913628450845,-0.9658341272407122,0.6638557347612594,-0.1285144922683742,-0.14478642960918975,0.08934061797237773,-0.15827060262300705,-3.463435368055192e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
